,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,27.2,97.29,100,8339,29.5,0.0,0.0,97.23,0.422,1.157,2.056,30.4,26.2,23.5,1.43,2.169,0.227,0.234,0.285,126.5,1.4383883025255133
1,1624842000,2021-06-27 19:00:00,25.7,97.35,100,8316,26.7,0.0,0.0,97.28,0.425,1.144,2.051,30.2,26.6,23.5,1.06,2.233,0.226,0.235,0.285,126.6,1.0692863265902908
2,1624845600,2021-06-27 20:00:00,23.8,97.4,100,8301,24.3,0.0,0.0,97.33,0.43,1.156,2.051,29.7,26.8,23.5,0.61,2.35,0.226,0.235,0.285,126.6,0.598284305022085
3,1624849200,2021-06-27 21:00:00,22.6,97.42,100,8287,22.4,0.0,0.0,97.36,0.432,1.161,2.055,29.0,27.0,23.5,0.49,2.254,0.225,0.234,0.285,126.3,0.4881805492514406
4,1624852800,2021-06-27 22:00:00,21.9,97.52,100,8278,21.4,0.0,0.0,97.45,0.434,1.162,2.059,28.3,26.9,23.6,0.4,2.226,0.225,0.234,0.285,126.3,0.4018588442730206
5,1624856400,2021-06-27 23:00:00,21.4,97.56,100,8267,20.9,0.0,0.0,97.49,0.435,1.163,2.064,27.7,26.8,23.6,0.28,2.275,0.225,0.234,0.285,126.3,0.2737705984720571
6,1624860000,2021-06-28 00:00:00,20.5,97.57,100,8248,20.0,0.0,0.0,97.5,0.436,1.159,2.063,27.1,26.6,23.6,0.17,2.24,0.225,0.234,0.285,126.3,0.1716412804606881
7,1624863600,2021-06-28 01:00:00,20.3,97.56,100,8240,19.6,0.0,0.0,97.49,0.435,1.147,2.067,26.6,26.5,23.7,0.17,2.216,0.225,0.234,0.285,126.3,0.1660593372779195
8,1624867200,2021-06-28 02:00:00,19.4,97.56,100,8234,19.0,0.0,0.0,97.48,0.435,1.159,2.066,26.1,26.2,23.7,0.04,2.214,0.225,0.234,0.285,126.3,0.0388310020993629
9,1624870800,2021-06-28 03:00:00,18.8,97.54,100,8225,18.4,0.0,0.0,97.46,0.435,1.166,2.066,25.7,26.0,23.7,,2.172,0.225,0.234,0.285,126.3,-0.0018751584863707
10,1624874400,2021-06-28 04:00:00,18.5,97.56,100,8219,18.0,0.0,0.0,97.47,0.435,1.16,2.06,25.3,25.8,23.8,,2.13,0.225,0.234,0.285,126.3,-0.0002226967178393
11,1624878000,2021-06-28 05:00:00,18.5,97.61,100,8212,18.0,0.0,0.0,97.52,0.435,1.166,2.06,24.9,25.6,23.8,,2.129,0.225,0.233,0.285,126.1,0.0007773032821605
12,1624881600,2021-06-28 06:00:00,18.9,97.68,100,8207,18.4,0.0,0.0,97.59,0.436,1.168,2.059,24.6,25.3,23.8,,2.178,0.225,0.233,0.285,126.1,0.0057218414652266
13,1624885200,2021-06-28 07:00:00,20.4,97.7,100,8206,19.7,0.0,0.0,97.61,0.437,1.156,2.059,24.4,25.1,23.8,0.02,2.382,0.225,0.233,0.285,126.1,0.0148104104453792
14,1624888800,2021-06-28 08:00:00,22.0,97.71,100,8208,21.4,0.0,0.0,97.63,0.437,1.154,2.059,24.2,24.9,23.8,0.21,2.433,0.225,0.233,0.285,126.1,0.2109311922105758
15,1624892400,2021-06-28 09:00:00,24.1,97.73,100,8224,24.9,0.0,0.0,97.66,0.436,1.169,2.054,24.4,24.8,23.8,0.59,2.415,0.225,0.233,0.285,126.1,0.5868745443431598
16,1624896000,2021-06-28 10:00:00,25.0,97.72,100,8247,26.4,0.0,0.0,97.63,0.438,1.166,2.054,24.8,24.7,23.8,0.85,2.319,0.226,0.233,0.285,126.2,0.8487777175068474
17,1624899600,2021-06-28 11:00:00,25.7,97.68,100,8264,27.4,0.0,0.0,97.6,0.438,1.167,2.055,25.5,24.6,23.8,0.94,2.356,0.227,0.233,0.285,126.29999999999998,0.946286326590291
18,1624903200,2021-06-28 12:00:00,26.8,97.68,100,8307,28.6,0.0,0.0,97.6,0.437,1.163,2.056,26.2,24.7,23.7,1.14,2.388,0.227,0.233,0.285,126.29999999999998,1.1357195928099275
19,1624906800,2021-06-28 13:00:00,27.9,97.71,100,8340,30.5,0.0,0.0,97.63,0.436,1.162,2.051,27.1,24.9,23.7,1.43,2.324,0.228,0.233,0.285,126.4,1.4339771108740127
20,1624910400,2021-06-28 14:00:00,28.1,97.69,100,8358,31.0,0.0,0.0,97.62,0.438,1.144,2.052,28.2,25.1,23.7,1.5,2.292,0.228,0.234,0.285,126.6,1.509995174422515
21,1624914000,2021-06-28 15:00:00,28.8,97.63,100,8382,31.9,0.0,0.0,97.56,0.438,1.15,2.052,29.2,25.5,23.7,1.6800000000000002,2.282,0.228,0.234,0.285,126.6,1.677612629550738
22,1624917600,2021-06-28 16:00:00,28.7,97.57,100,8379,31.9,0.0,0.0,97.51,0.442,1.144,2.057,30.2,25.9,23.7,1.6,2.322,0.228,0.234,0.285,126.6,1.6147535029497235
23,1624921200,2021-06-28 17:00:00,28.2,97.58,100,8362,31.2,0.0,0.0,97.51,0.443,1.149,2.063,31.0,26.4,23.6,1.39,2.418,0.228,0.234,0.285,126.6,1.4061720180540505
24,1624924800,2021-06-28 18:00:00,27.4,97.58,100,8339,29.3,0.0,0.0,97.51,0.445,1.137,2.068,31.2,26.8,23.6,1.17,2.475,0.228,0.235,0.285,126.79999999999998,1.1748676599831982
25,1624928400,2021-06-28 19:00:00,26.8,97.6,100,8323,27.8,0.0,0.0,97.53,0.446,1.148,2.067,30.9,27.2,23.6,1.01,2.5,0.227,0.235,0.285,126.7,1.0237195928099276
26,1624932000,2021-06-28 20:00:00,25.1,97.67,100,8301,25.4,0.0,0.0,97.58,0.45,1.139,2.066,30.4,27.4,23.7,0.75,2.433,0.226,0.235,0.285,126.6,0.7536957622050231
27,1624935600,2021-06-28 21:00:00,23.8,97.69,100,8286,23.6,0.0,0.0,97.62,0.453,1.144,2.066,29.7,27.5,23.7,0.48,2.458,0.226,0.235,0.285,126.6,0.4902843050220848
28,1624939200,2021-06-28 22:00:00,22.3,97.78,100,8273,22.0,0.0,0.0,97.7,0.455,1.147,2.066,29.0,27.5,23.7,0.22,2.473,0.225,0.234,0.285,126.3,0.2196645530366385
29,1624942800,2021-06-28 23:00:00,21.2,97.83,100,8263,20.8,0.0,0.0,97.74,0.457,1.149,2.07,28.3,27.4,23.7,0.03,2.48,0.225,0.234,0.285,126.3,0.0377224920902961
