,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Gust Speed,Lightning Activity,Lightning Distance,Logger Temperature,Max Precip Rate,Precipitation,RH Sensor Temp,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,Solar Radiation,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Wind Direction,Wind Speed,X-axis Level,Y-axis Level,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,27.0,97.12,100,8392,4.14,0,0,29.6,0.0,0.0,28.8,97.01,0.388,0.755,2.108,32.2,26.9,24.6,231.2,1.47,2.084,0.208,0.191,0.307,125,2.31,-1.5,2.3,120.4,1.4813401758108458
1,1624842000,2021-06-27 19:00:00,25.8,97.17,100,8373,3.8,0,0,26.9,0.0,0.0,26.6,97.06,0.391,0.758,2.113,31.9,27.4,24.6,107.3,1.16,2.161,0.208,0.191,0.307,119,1.89,-1.5,2.4,120.4,1.1609025283483367
2,1624845600,2021-06-27 20:00:00,24.4,97.21,100,8357,2.81,0,0,24.9,0.0,0.0,24.7,97.1,0.393,0.752,2.117,31.1,27.7,24.7,19.1,0.84,2.221,0.207,0.191,0.307,124,1.51,-1.4,2.4,120.3,0.8353126530167612
3,1624849200,2021-06-27 21:00:00,23.2,97.24,100,8341,3.05,0,0,23.2,0.0,0.0,23.1,97.14,0.396,0.764,2.121,30.3,27.8,24.8,0.0,0.64,2.189,0.207,0.191,0.307,127,1.79,-1.4,2.4,120.3,0.6546029029276386
4,1624852800,2021-06-27 22:00:00,22.5,97.33,100,8332,2.9,0,0,22.3,0.0,0.0,22.4,97.23,0.398,0.765,2.115,29.4,27.8,24.8,0.0,0.54,2.183,0.206,0.191,0.307,139,1.74,-1.4,2.4,120.2,0.5425876066054593
5,1624856400,2021-06-27 23:00:00,21.7,97.36,100,8319,3.34,0,0,21.5,0.0,0.0,21.6,97.26,0.396,0.766,2.109,28.5,27.7,24.9,0.0,0.35,2.24,0.206,0.191,0.307,155,1.4,-1.4,2.4,120.2,0.3559699942202963
6,1624860000,2021-06-28 00:00:00,20.9,97.36,100,8306,2.52,0,0,20.6,0.0,0.0,20.7,97.27,0.395,0.765,2.114,27.8,27.6,25.0,0.0,0.27,2.193,0.206,0.191,0.307,156,1.33,-1.4,2.4,120.2,0.2787700446226426
7,1624863600,2021-06-28 01:00:00,20.6,97.35,100,8299,2.65,0,0,20.2,0.0,0.0,20.4,97.26,0.396,0.764,2.122,27.1,27.4,25.0,0.0,0.28,2.152,0.206,0.19,0.307,155,0.8300000000000001,-1.4,2.4,120.0,0.2745523121060209
8,1624867200,2021-06-28 02:00:00,20.2,97.34,100,8296,1.26,0,0,19.7,0.0,0.0,19.9,97.25,0.396,0.764,2.121,26.6,27.1,25.1,0.0,0.18,2.181,0.206,0.19,0.307,84,0.6000000000000001,-1.4,2.4,120.0,0.1863876975032683
9,1624870800,2021-06-28 03:00:00,19.6,97.31,100,8289,0.94,0,0,19.1,0.0,0.0,19.4,97.23,0.394,0.768,2.12,26.0,26.9,25.1,0.0,0.09,2.192,0.206,0.19,0.307,124,0.55,-1.4,2.5,120.0,0.0890057729824529
10,1624874400,2021-06-28 04:00:00,19.1,97.33,100,8282,0.78,0,0,18.7,0.0,0.0,18.8,97.24,0.394,0.771,2.12,25.6,26.6,25.1,0.0,0.03,2.176,0.206,0.19,0.307,78,0.45,-1.4,2.4,120.0,0.0351396340059917
11,1624878000,2021-06-28 05:00:00,18.8,97.38,100,8279,1.17,0,0,18.4,0.0,0.0,18.5,97.29,0.395,0.764,2.12,25.2,26.4,25.1,0.0,0.01,2.162,0.206,0.19,0.307,146,0.53,-1.4,2.4,120.0,0.0081248415136294
12,1624881600,2021-06-28 06:00:00,19.0,97.44,100,8273,1.14,0,0,18.6,0.0,0.0,18.8,97.36,0.395,0.765,2.115,24.8,26.2,25.1,19.2,,2.195,0.206,0.19,0.307,121,0.52,-1.4,2.4,120.0,0.002393323885526
13,1624885200,2021-06-28 07:00:00,20.0,97.46,100,8274,0.93,0,0,20.3,0.0,0.0,20.3,97.39,0.397,0.775,2.115,24.5,26.0,25.1,116.7,,2.328,0.206,0.19,0.307,146,0.45,-1.4,2.4,120.0,0.0102812709274462
14,1624888800,2021-06-28 08:00:00,21.1,97.48,100,8279,1.25,0,0,22.0,0.0,0.0,22.1,97.4,0.395,0.774,2.114,24.5,25.7,25.1,178.3,0.1,2.396,0.206,0.19,0.308,319,0.46,-1.4,2.4,120.2,0.1063227554890153
15,1624892400,2021-06-28 09:00:00,22.7,97.51,100,8296,2.59,0,0,25.1,0.0,0.0,25.2,97.44,0.397,0.773,2.114,24.6,25.6,25.1,383.9,0.35,2.407,0.206,0.19,0.308,305,1.02,-1.4,2.4,120.2,0.3518616266004506
16,1624896000,2021-06-28 10:00:00,23.7,97.5,100,8316,3.77,0,0,26.0,0.0,0.0,26.2,97.41,0.397,0.774,2.11,25.2,25.4,25.0,425.5,0.63,2.291,0.207,0.19,0.308,13,1.55,-1.5,2.4,120.3,0.6396073746865936
17,1624899600,2021-06-28 11:00:00,24.6,97.46,100,8338,4.57,0,0,26.7,0.0,0.0,26.8,97.38,0.398,0.773,2.11,26.0,25.4,25.0,456.6,0.79,2.308,0.207,0.19,0.308,42,2.05,-1.5,2.4,120.3,0.785081329522543
18,1624903200,2021-06-28 12:00:00,25.8,97.46,100,8374,4.4,0,0,28.0,0.0,0.0,28.3,97.38,0.401,0.773,2.112,26.8,25.5,25.0,663.2,0.97,2.351,0.207,0.19,0.307,84,2.26,-1.5,2.4,120.1,0.9709025283483368
19,1624906800,2021-06-28 13:00:00,27.1,97.5,100,8408,6.01,0,0,30.0,0.0,0.0,30.0,97.41,0.4,0.772,2.108,27.8,25.6,24.9,849.7,1.35,2.237,0.206,0.19,0.307,101,2.77,-1.5,2.3,120.0,1.3493105663510558
20,1624910400,2021-06-28 14:00:00,27.4,97.49,100,8424,5.64,0,0,30.5,0.0,0.0,30.0,97.4,0.403,0.771,2.105,29.2,25.8,24.9,728.3,1.48,2.176,0.206,0.19,0.307,114,2.73,-1.5,2.3,120.0,1.473867659983198
