,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Sensor Output,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400.0,2021-06-27 18:00:00,26.6,96.33,100,8320,28.1,0.0,0.0,96.29,0.111,0.134,0.41,0,29.5,24.7,23.0,1.44,2.049,0.23,0.106,0.136,71.4,1.433522891456
1,1624842000.0,2021-06-27 19:00:00,25.2,96.38,100,8301,25.8,0.0,0.0,96.34,0.112,0.135,0.411,0,29.0,25.0,23.0,1.1,2.108,0.229,0.106,0.136,71.30000000000001,1.0977122429156885
2,1624845600.0,2021-06-27 20:00:00,23.7,96.42,100,8285,23.9,0.0,0.0,96.38,0.113,0.136,0.41,0,28.2,25.2,23.1,0.76,2.166,0.229,0.106,0.136,71.30000000000001,0.7646073746865936
3,1624849200.0,2021-06-27 21:00:00,22.4,96.45,100,8273,22.4,0.0,0.0,96.41,0.115,0.136,0.41,0,27.4,25.3,23.2,0.6000000000000001,2.109,0.228,0.106,0.136,71.2,0.6000824052161176
4,1624852800.0,2021-06-27 22:00:00,21.7,96.54,100,8264,21.5,0.0,0.0,96.5,0.114,0.136,0.41,0,26.6,25.3,23.3,0.44,2.155,0.228,0.106,0.136,71.2,0.4409699942202967
5,1624856400.0,2021-06-27 23:00:00,21.0,96.56,100,8253,20.8,0.0,0.0,96.53,0.115,0.137,0.41,0,25.9,25.3,23.4,0.28,2.201,0.228,0.106,0.136,71.2,0.2860053972720653
6,1624860000.0,2021-06-28 00:00:00,20.6,96.57,100,8233,20.3,0.0,0.0,96.54,0.115,0.137,0.41,0,25.3,25.2,23.4,0.3,2.119,0.228,0.106,0.136,71.2,0.3075523121060208
7,1624863600.0,2021-06-28 01:00:00,20.2,96.56,100,8226,19.9,0.0,0.0,96.52,0.115,0.137,0.41,0,24.8,25.0,23.5,0.24,2.129,0.227,0.106,0.136,71.1,0.2383876975032683
8,1624867200.0,2021-06-28 02:00:00,20.0,96.56,100,8219,19.6,0.0,0.0,96.51,0.116,0.138,0.41,0,24.3,24.9,23.5,0.16,2.184,0.227,0.106,0.136,71.1,0.1542812709274459
9,1624870800.0,2021-06-28 03:00:00,19.8,96.54,100,8210,19.3,0.0,0.0,96.49,0.116,0.138,0.41,0,23.9,24.7,23.5,0.11,2.193,0.227,0.106,0.136,71.1,0.116488249490783
10,1624874400.0,2021-06-28 04:00:00,19.6,96.55,100,8204,19.0,0.0,0.0,96.5,0.115,0.137,0.41,0,23.5,24.5,23.5,0.09,2.197,0.227,0.106,0.136,71.1,0.084005772982453
11,1624878000.0,2021-06-28 05:00:00,19.5,96.6,100,8200,18.8,0.0,0.0,96.55,0.116,0.14,0.41,0,23.2,24.4,23.5,0.07,2.201,0.227,0.106,0.136,71.1,0.0658801009804515
12,1624881600.0,2021-06-28 06:00:00,19.7,96.67,100,8191,19.0,0.0,0.0,96.62,0.116,0.14,0.408,0,23.0,24.2,23.4,0.07,2.221,0.227,0.106,0.136,71.1,0.0742083710657746
13,1624885200.0,2021-06-28 07:00:00,20.5,96.7,100,8188,20.2,0.0,0.0,96.65,0.116,0.137,0.409,0,22.8,24.0,23.4,0.12,2.291,0.226,0.106,0.136,71.0,0.1206412804606884
14,1624888800.0,2021-06-28 08:00:00,21.5,96.71,100,8193,21.5,0.0,0.0,96.66,0.116,0.136,0.404,0,22.8,23.9,23.4,0.23,2.324,0.226,0.106,0.136,71.0,0.2404197206554634
15,1624892400.0,2021-06-28 09:00:00,23.4,96.76,100,8206,24.4,0.0,0.0,96.7,0.116,0.132,0.405,0,23.1,23.8,23.3,0.54,2.33,0.226,0.105,0.136,70.80000000000001,0.5481302847583609
