,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
0,1624838400,2021-06-27 18:00:00,26.7,96.61,100,8388,27.8,0.0,0.0,96.51,0.436,1.267,2.302,30.6,25.4,23.6,1.42,2.083,0.248,0.22,0.326,134.0,1.4200684848343492
1,1624842000,2021-06-27 19:00:00,25.4,96.66,100,8370,25.8,0.0,0.0,96.56,0.442,1.264,2.302,30.4,25.7,23.6,1.15,2.093,0.247,0.22,0.326,133.9,1.1510422381586771
2,1624845600,2021-06-27 20:00:00,24.0,96.69,100,8355,24.2,0.0,0.0,96.6,0.442,1.268,2.301,29.7,26.0,23.7,0.8300000000000001,2.151,0.246,0.22,0.326,133.8,0.8329174771655596
3,1624849200,2021-06-27 21:00:00,22.6,96.72,100,8342,22.6,0.0,0.0,96.64,0.445,1.259,2.301,29.0,26.2,23.7,0.62,2.124,0.245,0.22,0.326,133.7,0.6181805492514405
4,1624852800,2021-06-27 22:00:00,21.9,96.82,100,8333,21.7,0.0,0.0,96.72,0.45,1.256,2.306,28.2,26.2,23.8,0.47,2.158,0.245,0.22,0.326,133.7,0.4698588442730207
5,1624856400,2021-06-27 23:00:00,21.2,96.85,100,8326,21.0,0.0,0.0,96.76,0.451,1.256,2.3,27.5,26.2,23.8,0.32,2.199,0.244,0.22,0.326,133.60000000000002,0.3187224920902962
6,1624860000,2021-06-28 00:00:00,20.5,96.86,100,8306,20.2,0.0,0.0,96.76,0.453,1.266,2.304,26.8,26.1,23.9,0.27,2.141,0.244,0.22,0.326,133.60000000000002,0.2706412804606883
7,1624863600,2021-06-28 01:00:00,20.4,96.84,100,8301,20.0,0.0,0.0,96.75,0.45,1.273,2.303,26.2,25.9,23.9,0.26,2.129,0.244,0.22,0.326,133.60000000000002,0.2678104104453793
8,1624867200,2021-06-28 02:00:00,19.8,96.84,100,8298,19.4,0.0,0.0,96.74,0.454,1.275,2.308,25.7,25.7,24.0,0.14,2.176,0.243,0.219,0.326,133.3,0.1334882494907829
9,1624870800,2021-06-28 03:00:00,19.5,96.82,100,8292,18.9,0.0,0.0,96.72,0.455,1.273,2.307,25.2,25.6,24.0,0.08,2.178,0.243,0.219,0.326,133.3,0.0888801009804516
10,1624874400,2021-06-28 04:00:00,19.4,96.83,100,8288,18.7,0.0,0.0,96.73,0.454,1.278,2.302,24.9,25.4,24.0,0.07,2.186,0.243,0.219,0.326,133.3,0.0668310020993629
